 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Unidade da Federação e Ano/mês atendimento
Período:Abr-Ago/2020
"Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"Total"
"24 Rio Grande do Norte";-;-;-;-;-;-;-;-;-;-;-;-;38021,50;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7604,30;-;15208,60;-;7604,30;-;-;-;-;-;-;-;-;-;-;9145,04;-;15208,60;-;-;-;-;1043,72;-;-;-;-;1043,72;-;-;-;3379,68;-;-;-;-;-;-;-;-;-;-;1043,72;-;-;-;-;-;-;1043,72;-;-;7604,30;-;-;7604,30;-;-;-;15208,60;-;-;-;7604,30;7206,69;-;8648,02;-;-;-;-;-;1043,72;7604,30;-;7604,30;-;-;-;4274,31;-;-;-;-;-;-;2087,44;1565,59;-;-;1318,39;22247,91;-;4284,78;5026,38;2554,39;11671,19;-;-;1565,59;1565,59;2509,89;4449,58;13061,60;17699,49;39270,63;65817,41;487173,15;2807177,42;8575654,31;13509997,61;17319947,66;19916570,52;20219961,81;19593057,45;8080160,97;110881146,49
"25 Paraíba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10884,59;-;-;11729,52;16451,14;-;-;10337,88;-;27636,53;55129,08;200336,84;482369,17;2472421,69;5565263,10;10602709,98;15386630,89;18970543,57;19666096,87;15491469,06;8585226,08;97555235,99
"26 Pernambuco";44234,16;-;-;-;10437,27;-;-;-;-;6063,56;-;-;-;4522,82;-;-;-;-;-;-;-;-;-;-;310497,74;-;-;9393,54;95524,25;-;-;2932,37;-;10288,17;-;9741,44;-;7787,90;-;15208,60;944,32;-;6063,56;7787,90;-;-;7604,30;2595,96;19224,65;-;-;-;-;-;-;7380,69;-;7787,90;-;-;7604,30;-;7787,90;15208,60;-;28444,43;-;-;-;4522,82;-;-;13851,46;-;8361,88;-;-;10471,77;7787,90;-;-;6662,06;-;10169,91;-;-;-;-;-;-;7787,90;10169,91;-;-;-;10486,62;18274,52;-;-;-;10169,91;2683,87;-;-;7787,90;10486,62;7787,90;10486,62;11975,51;10486,62;-;-;7787,90;-;-;7787,90;57795,32;30509,73;-;-;-;3152,84;-;6362,66;-;-;2443,26;-;10994,58;10486,62;25153,57;-;7128,16;-;20339,82;-;26895,77;21122,34;33571,72;21281,31;30981,74;36725,90;125814,11;258112,67;2164776,01;7106402,45;27803233,61;53843729,23;65424719,40;68145110,59;62325444,34;33544876,14;321928217,72
"27 Alagoas";46727,40;-;-;-;-;7787,90;-;-;-;-;-;-;-;-;4581,12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;42727,91;-;-;7604,30;-;7787,90;-;-;-;-;7584,29;-;-;-;-;7604,30;-;-;-;7787,90;-;-;-;-;7787,90;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15575,80;-;7787,90;-;-;-;-;-;-;-;-;12689,54;28182,95;-;28017,39;12607,15;-;-;2389,59;8529,49;29251,86;7168,78;15978,45;115781,28;344747,09;909481,95;2695134,64;5292796,71;9940927,78;14241361,44;15254204,31;14278872,07;13087850,40;6487947,82;82965265,31
"28 Sergipe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24303,94;-;-;7604,30;-;-;-;-;-;7604,30;-;7604,30;22535,39;88213,58;918163,82;3590116,73;5344563,79;7383819,41;8395906,57;8450209,57;6705923,03;3312766,32;1742127,72;46001462,77
"29 Bahia";491361,02;-;10803,33;-;10803,33;-;-;-;-;-;-;-;-;-;-;10823,84;-;4255,67;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10803,33;-;-;-;-;-;89443,76;-;-;-;11377,15;-;-;6482,66;-;-;-;-;-;-;-;84237,73;224607,48;10803,33;-;-;-;2517,00;-;-;35029,66;-;-;-;-;11573,16;-;-;15392,27;-;12551,06;-;-;11839,86;-;12138,31;-;34532,50;11793,90;-;-;2217,61;-;-;1961,61;-;-;-;-;11853,58;-;12893,78;11573,16;-;1666,06;28722,74;-;13163,34;-;-;1311,75;35447,13;-;-;26321,54;8239,07;3172,64;2262,45;20084,00;10803,33;13393,64;6143,70;13509,85;16506,50;5169,18;-;6482,66;-;25336,02;2701,14;7688,17;2605,00;-;16354,45;12965,32;22000,50;28091,22;51507,44;14013,13;36693,73;1027,70;52277,66;45912,73;86060,36;355105,92;928596,57;4052390,58;14241937,76;24391148,35;44326950,28;59109689,20;61756775,71;65159300,63;58898100,40;26023558,53;361014858,17
"31 Minas Gerais";272221,20;-;-;-;-;7604,30;6482,66;-;6482,66;-;-;-;-;-;12965,32;-;-;-;-;11436,75;-;-;-;-;-;-;-;6482,66;6482,66;-;10486,62;-;-;-;-;-;28089,32;10803,33;16393,95;-;-;-;-;-;-;-;-;6482,66;28324,97;6482,66;6482,66;-;6482,66;12965,32;12779,73;6482,66;6890,33;-;-;-;22240,08;10803,33;23768,65;-;-;12965,32;11436,75;17285,99;6482,66;6482,66;-;-;-;-;23383,71;11279,16;-;-;-;18366,29;6482,66;17285,99;-;6482,66;-;35685,63;-;30499,79;-;-;-;-;-;-;10803,33;12965,32;14235,33;15760,53;7604,30;-;15887,25;10803,33;10803,33;33768,35;21606,66;16393,95;-;7614,97;33511,83;7604,30;82122,74;6482,66;25973,01;12965,32;12965,32;11883,63;6482,66;30036,22;5382,00;18366,29;8813,03;27834,96;7604,30;10803,33;19802,61;17285,99;117436,35;84008,73;91226,52;35182,22;2323,27;44370,41;70291,49;24402,07;28089,32;54844,65;81524,54;117070,79;63457,86;117627,76;301315,79;409739,03;1550231,62;5164345,72;20619212,64;40496209,83;91481872,95;126330649,86;136867275,75;135977571,87;120467187,34;57473699,06;739345570,70
"32 Espírito Santo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7787,90;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3951,46;-;-;5889,47;12849,89;-;6881,43;24770,70;585838,07;4504009,50;8078446,26;17162044,78;23735724,64;28614683,75;27450865,16;27460475,47;10824255,26;148478473,74
"33 Rio de Janeiro";794783,68;7604,30;5904,57;7604,30;-;5904,57;7604,30;12312,52;-;-;-;16469,28;15208,60;7604,30;15208,60;15208,60;13508,87;7604,30;-;19413,44;5904,57;15208,60;22812,90;7604,30;7355,79;8800,65;13508,87;7604,30;15208,60;12475,03;15862,98;-;-;5904,57;13071,60;-;-;28717,47;19413,44;7604,30;11809,14;-;5904,57;5904,57;15208,60;15208,60;5904,57;7604,30;52845,30;13944,14;26957,00;26640,47;14170,07;16898,44;63254,33;11801,01;50801,66;47543,48;66858,34;35305,85;388091,61;51690,03;62071,12;72358,11;76475,62;80488,41;38055,95;35441,06;24334,52;73985,29;21178,20;89389,37;92383,93;70050,05;89548,39;25088,54;30675,37;111849,25;31039,26;25453,34;103788,51;44707,66;88916,88;90789,53;72445,47;100163,19;86449,32;7604,30;86807,40;103918,74;172640,79;82413,77;102690,07;177745,22;55262,72;45480,25;222781,53;86877,84;213401,84;38421,71;50519,61;48472,50;1421181,94;420795,78;86530,61;112694,61;102659,14;331136,48;82430,22;235268,98;46216,29;40467,97;182991,01;62373,60;66179,23;160202,90;65769,38;100603,09;99531,15;75576,83;122987,15;61062,98;44376,52;64558,01;146492,75;92561,85;83613,10;116737,26;51465,96;88681,57;94019,38;136723,61;198450,24;365347,11;286051,78;233684,43;349805,03;506582,24;398958,86;554916,52;517604,22;1267182,29;1644064,25;4632933,32;14120115,88;22854778,58;44199049,66;68160773,35;86281033,16;77604925,21;71540227,33;36264322,65;442002208,37
"35 São Paulo";10858655,81;94665,94;54016,65;41095,02;43213,32;63619,61;32409,99;79368,10;52383,22;127431,53;304739,30;5443,64;68069,07;32409,99;43708,62;54124,06;21861,99;32409,99;27511,23;38314,56;82581,80;43708,62;159795,10;21606,66;32409,99;7604,30;63106,85;21606,66;105818,36;79212,11;65922,93;554748,76;53526,15;323266,80;128375,47;71730,36;43213,32;44714,43;44514,24;71730,36;17203,20;73741,98;83523,44;112593,47;78708,32;84729,76;70263,33;70091,13;60285,48;70581,38;48043,54;79316,50;32905,29;121214,65;83862,61;60421,19;144307,08;621639,25;66577,72;103280,81;143250,18;91456,51;108797,54;46373,82;114021,24;70386,94;55600,55;60813,26;77909,24;896143,84;118044,96;78564,40;210958,16;32905,29;92845,87;53529,72;91534,64;89422,87;86437,38;380266,66;407353,91;68799,81;75434,50;102590,82;132035,20;89908,26;80457,16;94732,50;78307,52;197191,66;83088,65;119972,61;150754,08;89394,32;80049,36;115484,40;186556,92;100721,61;145508,49;287412,73;72358,67;113260,65;49696,85;96656,89;82040,20;49702,97;82171,01;79023,81;203881,18;100752,02;118402,38;97342,34;70464,42;100137,00;86550,67;219535,74;43899,54;253597,36;125390,65;158178,75;130350,86;175121,03;77306,47;164931,32;200741,14;171940,55;251921,22;204458,26;110250,18;999414,33;144248,22;438215,47;636770,71;364232,24;1210537,09;269127,38;277061,71;242798,82;574324,15;1044640,16;640948,90;894763,20;2342727,16;5689857,08;26413665,05;51756205,96;147334059,39;251696362,66;302857660,98;299060851,62;282709570,31;140414944,95;1543466004,29
"41 Paraná";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7504,90;-;-;-;-;-;-;-;-;-;-;-;6482,66;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19388,80;-;-;-;-;-;-;-;-;-;-;-;-;-;46663,82;-;-;-;-;-;-;-;4008,47;-;-;1453,09;-;6756,78;-;1453,09;-;4448,43;-;17549,85;45206,98;18951,92;70451,70;99086,13;271385,89;1024312,33;3932448,31;6597308,75;17885612,22;29915446,59;60543294,89;96727112,19;106103737,62;92901461,36;80320852,69;41542401,16;538114780,62
"42 Santa Catarina";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6185,37;-;-;-;-;6088,17;-;-;6412,17;-;6703,77;-;-;-;-;6088,17;-;-;-;-;-;-;23119,13;6088,17;5164,15;-;12176,34;117671,84;470502,41;-;636,67;-;11774,88;11774,88;-;-;-;-;13008,54;-;6088,17;2442,34;-;-;6088,17;-;16135,71;-;22223,88;11774,88;6088,17;-;-;12176,34;6282,57;31518,35;15136,87;11774,88;-;4587,63;-;23549,76;23549,76;16836,15;2231,84;11646,84;22916,34;1663,85;75113,41;492908,01;4364794,42;14119454,37;35261021,73;51179993,45;56843604,33;56503747,99;51764534,76;16991236,43;288554516,06
"43 Rio Grande do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7604,30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7654,00;-;-;-;1491,04;-;-;-;2061,50;-;-;3380,86;22661,59;13335,09;11708,35;40558,01;40760,15;56822,47;84572,15;91470,43;310233,75;751380,18;2638514,85;11051351,53;22331437,99;57202323,81;76294596,96;86076113,42;89019478,82;78929703,81;28349257,38;453338472,44
"50 Mato Grosso do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7604,30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12607,15;-;-;-;-;2137,88;11650,78;41829,80;133395,63;364960,66;1550668,72;4150224,61;7089152,64;12524599,62;15652772,51;16703851,10;15838659,34;12508717,35;4059220,22;90652052,31
"51 Mato Grosso";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6159,34;61183,56;98635,01;318643,66;1897909,42;3740963,37;7573442,08;11943713,53;13981483,29;14585009,42;13083151,70;6174224,99;73464519,37
